x,y,z,pitch,yaw,ok,err
0.25,-0.2,0.26,0.45,-0.6,1,9.733382720424714e-05
0.25,-0.2,0.26,0.45,-0.3,1,9.60098085570781e-05
0.25,-0.2,0.26,0.45,0.0,1,5.567033087997431e-05
0.25,-0.2,0.26,0.45,0.3,1,7.772328598320504e-05
0.25,-0.2,0.26,0.45,0.6,0,0.23291941992561827
0.25,-0.2,0.26,0.675,-0.6,1,5.889641140921551e-05
0.25,-0.2,0.26,0.675,-0.3,1,6.74603198741244e-05
0.25,-0.2,0.26,0.675,0.0,1,9.32902572727405e-05
0.25,-0.2,0.26,0.675,0.3,1,9.931113315909708e-05
0.25,-0.2,0.26,0.675,0.6,0,0.10304633885497058
0.25,-0.2,0.26,0.9,-0.6,1,7.101854412524457e-05
0.25,-0.2,0.26,0.9,-0.3,1,8.9180978709408e-05
0.25,-0.2,0.26,0.9,0.0,1,7.027322019807925e-05
0.25,-0.2,0.26,0.9,0.3,1,8.080689912498245e-05
0.25,-0.2,0.26,0.9,0.6,0,0.1229197937647073
0.25,-0.2,0.26,1.2,-0.6,1,9.014737555602568e-05
0.25,-0.2,0.26,1.2,-0.3,1,6.178922708523713e-05
0.25,-0.2,0.26,1.2,0.0,1,8.668146161271414e-05
0.25,-0.2,0.26,1.2,0.3,0,0.07639996395993669
0.25,-0.2,0.26,1.2,0.6,0,0.2286062811566748
0.25,-0.2,0.26,1.57,-0.6,0,0.2871688143075333
0.25,-0.2,0.26,1.57,-0.3,0,0.3185993668309129
0.25,-0.2,0.26,1.57,0.0,0,0.24007885388921169
0.25,-0.2,0.26,1.57,0.3,0,0.3790076054963309
0.25,-0.2,0.26,1.57,0.6,0,1.5231917606841177
0.25,-0.1,-0.06,0.0,-0.6,0,0.4637084166697934
0.25,-0.1,-0.06,0.0,-0.3,0,0.31002433260848455
0.25,-0.1,-0.06,0.0,0.0,0,0.2515158018905135
0.25,-0.1,-0.06,0.0,0.3,0,0.30162299502591927
0.25,-0.1,-0.06,0.0,0.6,0,0.0014999329243082509
0.25,-0.1,-0.06,0.225,-0.6,0,0.6750584948648032
0.25,-0.1,-0.06,0.225,-0.3,0,0.46241503660211836
0.25,-0.1,-0.06,0.225,0.0,0,0.35188362502077114
0.25,-0.1,-0.06,0.225,0.3,0,0.3531093211982675
0.25,-0.1,-0.06,0.225,0.6,1,6.551162356909565e-05
0.25,-0.1,-0.06,0.45,-0.6,0,0.10698148008179768
0.25,-0.1,-0.06,0.45,-0.3,0,0.6041606800901269
0.25,-0.1,-0.06,0.45,0.0,0,0.525434214892843
0.25,-0.1,-0.06,0.45,0.3,1,7.685912544027789e-05
0.25,-0.1,-0.06,0.45,0.6,1,6.391263391866963e-05
0.25,-0.1,-0.06,0.675,-0.6,1,5.748531122799915e-05
0.25,-0.1,-0.06,0.675,-0.3,0,0.003966771104236111
0.25,-0.1,-0.06,0.675,0.0,1,5.319666423119428e-05
0.25,-0.1,-0.06,0.675,0.3,1,8.445833529146035e-05
0.25,-0.1,-0.06,0.675,0.6,1,7.767603109204271e-05
0.25,-0.1,-0.06,0.9,-0.6,1,7.748566061159159e-05
0.25,-0.1,-0.06,0.9,-0.3,1,7.092719175742922e-05
0.25,-0.1,-0.06,0.9,0.0,1,7.613978015543972e-05
0.25,-0.1,-0.06,0.9,0.3,1,8.495968110636933e-05
0.25,-0.1,-0.06,0.9,0.6,1,5.101300488809098e-05
0.25,-0.1,-0.06,1.2,-0.6,1,8.173934262657475e-05
0.25,-0.1,-0.06,1.2,-0.3,1,7.925977744626975e-05
0.25,-0.1,-0.06,1.2,0.0,1,8.85563327459821e-05
0.25,-0.1,-0.06,1.2,0.3,1,5.504033853802582e-05
0.25,-0.1,-0.06,1.2,0.6,1,6.551330824841995e-05
0.25,-0.1,-0.06,1.57,-0.6,1,5.039456950276835e-05
0.25,-0.1,-0.06,1.57,-0.3,1,5.2135631398344234e-05
0.25,-0.1,-0.06,1.57,0.0,1,6.043113199918837e-05
0.25,-0.1,-0.06,1.57,0.3,1,8.357981585818102e-05
0.25,-0.1,-0.06,1.57,0.6,1,9.135375430919107e-05
0.25,-0.1,-0.02,0.0,-0.6,0,0.439018306033286
0.25,-0.1,-0.02,0.0,-0.3,0,0.2768809957590415
0.25,-0.1,-0.02,0.0,0.0,0,0.21317058122314975
0.25,-0.1,-0.02,0.0,0.3,0,0.25555225915948715
0.25,-0.1,-0.02,0.0,0.6,0,0.0013775027660423809
0.25,-0.1,-0.02,0.225,-0.6,0,0.5889368322964446
0.25,-0.1,-0.02,0.225,-0.3,0,0.4408581811575844
0.25,-0.1,-0.02,0.225,0.0,0,0.3243829419071905
0.25,-0.1,-0.02,0.225,0.3,0,0.31953074596271386
0.25,-0.1,-0.02,0.225,0.6,1,9.212805015746477e-05
0.25,-0.1,-0.02,0.45,-0.6,0,0.08781049211922715
0.25,-0.1,-0.02,0.45,-0.3,0,0.048438015896535076
0.25,-0.1,-0.02,0.45,0.0,1,7.020301097034916e-05
0.25,-0.1,-0.02,0.45,0.3,1,9.970238167762313e-05
0.25,-0.1,-0.02,0.45,0.6,1,5.351112438712049e-05
0.25,-0.1,-0.02,0.675,-0.6,0,0.004677941216614944
0.25,-0.1,-0.02,0.675,-0.3,0,0.044464916803153745
0.25,-0.1,-0.02,0.675,0.0,1,7.59355661860738e-05
0.25,-0.1,-0.02,0.675,0.3,1,7.567170685582728e-05
0.25,-0.1,-0.02,0.675,0.6,1,8.67930750688287e-05
0.25,-0.1,-0.02,0.9,-0.6,1,6.750755188585736e-05
0.25,-0.1,-0.02,0.9,-0.3,1,6.104574206570013e-05
0.25,-0.1,-0.02,0.9,0.0,1,7.074295472652625e-05
0.25,-0.1,-0.02,0.9,0.3,1,8.80317190147108e-05
0.25,-0.1,-0.02,0.9,0.6,1,5.988172869371619e-05
0.25,-0.1,-0.02,1.2,-0.6,1,8.136869842917516e-05
0.25,-0.1,-0.02,1.2,-0.3,1,7.887752525832496e-05
0.25,-0.1,-0.02,1.2,0.0,1,8.929996357902374e-05
0.25,-0.1,-0.02,1.2,0.3,1,5.76989227997642e-05
0.25,-0.1,-0.02,1.2,0.6,1,8.206119023431558e-05
0.25,-0.1,-0.02,1.57,-0.6,1,5.020391624394197e-05
0.25,-0.1,-0.02,1.57,-0.3,1,5.169870942142495e-05
0.25,-0.1,-0.02,1.57,0.0,1,6.023837136614072e-05
0.25,-0.1,-0.02,1.57,0.3,1,8.476503155708399e-05
0.25,-0.1,-0.02,1.57,0.6,1,5.321196298406883e-05
0.25,-0.1,0.02,0.0,-0.6,0,0.41699317023854315
0.25,-0.1,0.02,0.0,-0.3,0,0.2451072012907901
